wikidata_id,name,latitude,longitude,postal_code
Q1000029,Kraslice,50.323842588,12.517556147,358 01
Q1000033,Lanškroun,49.912192261,16.61195451,563 01
Q1000046,Kuřim,49.298546446,16.531462119,664 34
Q1000056,Sušice,49.231161465,13.520207848,342 01
Q1000060,Humpolec,49.541577778,15.359357331,396 01
Q1000069,Lovosice,50.515121498,14.051126534,410 02
Q1000073,Pelhřimov,49.431396763,15.223389364,393 01
Q1000078,Moravská Třebová,49.757953873,16.664303989,569 21
Q1000078,Moravská Třebová,49.757953873,16.664303989,571 01
Q1000086,Nový Bor,50.757681178,14.555662165,471 18
Q1000086,Nový Bor,50.757681178,14.555662165,473 01
Q1000091,Rychnov nad Kněžnou,50.162870787,16.274954757,516 01
Q1000091,Rychnov nad Kněžnou,50.162870787,16.274954757,516 03
Q1000101,Vlašim,49.706391051,14.898853788,258 01
Q1001639,Světlá nad Sázavou,49.66806244,15.403979061,582 91
Q1008595,Vrchlabí,50.627013945,15.609473689,543 01
Q1008595,Vrchlabí,50.627013945,15.609473689,543 02
Q1008595,Vrchlabí,50.627013945,15.609473689,543 03
Q1008595,Vrchlabí,50.627013945,15.609473689,543 51
Q1008610,Vizovice,49.222868373,17.854557978,763 12
Q14960,Brno,49.195277777,16.608333333,602 00–664 81
Q16506,České Budějovice,48.974722222,14.474722222,370 01–370 11
Q16515,Dobříš,49.781215974,14.167220871,263 01
Q16515,Dobříš,49.781215974,14.167220871,262 02
Q36989,Pardubice,50.03861,15.77916,530 02–533 53
Q43453,Plzeň,49.741388888,13.3825,301 00–326 00
Q48194,Frýdek-Místek,49.688055555,18.353611111,738 01
Q48194,Frýdek-Místek,49.688055555,18.353611111,739 42
Q63855,Roudnice nad Labem,50.42536108,14.261840817,413 01
Q81137,Olomouc,49.593888888,17.250833333,779 00
Q81137,Olomouc,49.593888888,17.250833333,783 01
Q81137,Olomouc,49.593888888,17.250833333,783 35
Q104587,Kyjov,49.010193088,17.122531686,696 55
Q104587,Kyjov,49.010193088,17.122531686,697 01
Q105198,Veselí nad Moravou,48.953642955,17.376482379,698 01
Q143664,Dvůr Králové nad Labem,50.4317638,15.814108741,544 01
Q143664,Dvůr Králové nad Labem,50.4317638,15.814108741,544 04
Q146356,Chomutov,50.462777777,13.411111111,430 01
Q146356,Chomutov,50.462777777,13.411111111,430 03
Q146356,Chomutov,50.462777777,13.411111111,430 04
Q146363,Most,50.503055555,13.636666666,434 01
